Country,Year,Sex,Age,Population
Canada,2016,Male,9,201426
Canada,2016,Female,5,192418
Canada,2016,Female,6,192418
Canada,2016,Female,7,192418
Canada,2016,Female,8,192418
Canada,2016,Female,9,192418
Canada,2016,Male,10,191225
Canada,2016,Male,11,191225
Canada,2016,Male,12,191225
Canada,2016,Male,13,191225
Canada,2016,Male,14,191225
Canada,2016,Female,10,181288
Canada,2016,Female,11,181288
Canada,2016,Female,12,181288
Canada,2016,Female,13,181288
Canada,2016,Female,14,181288
Canada,2016,Male,15,214476
Canada,2016,Male,16,214476
Canada,2016,Male,17,214476
Canada,2016,Male,18,214476
Canada,2016,Male,19,214476
Canada,2016,Female,15,202647
Canada,2016,Female,16,202647
Canada,2016,Female,17,202647
Canada,2016,Female,18,202647
Canada,2016,Female,19,202647
Canada,2016,Male,20,255513
Canada,2016,Male,21,255513
Canada,2016,Male,22,255513
Canada,2016,Male,23,255513
Canada,2016,Male,24,255513
Canada,2016,Female,20,244502
Canada,2016,Female,21,244502
Canada,2016,Female,22,244502
Canada,2016,Female,23,244502
Canada,2016,Female,24,244502
Canada,2016,Male,25,250681
Canada,2016,Male,26,250681
Canada,2016,Male,27,250681
Canada,2016,Male,28,250681
Canada,2016,Male,29,250681
Canada,2016,Female,25,247950
Canada,2016,Female,26,247950
Canada,2016,Female,27,247950
Canada,2016,Female,28,247950
Canada,2016,Female,29,247950
Canada,2016,Male,30,254496
Canada,2016,Male,31,254496
Canada,2016,Male,32,254496
Canada,2016,Male,33,254496
Canada,2016,Male,34,254496
Canada,2016,Female,30,255976
Canada,2016,Female,31,255976
Canada,2016,Female,32,255976
Canada,2016,Female,33,255976
Canada,2016,Female,34,255976
Canada,2016,Male,35,241204
Canada,2016,Male,36,241204
Canada,2016,Male,37,241204
Canada,2016,Male,38,241204
Canada,2016,Male,39,241204
Canada,2016,Female,35,244377
Canada,2016,Female,36,244377
Canada,2016,Female,37,244377
Canada,2016,Female,38,244377
Canada,2016,Female,39,244377
Canada,2016,Male,40,234007
Canada,2016,Male,41,234007
Canada,2016,Male,42,234007
Canada,2016,Male,43,234007
Canada,2016,Male,44,234007
Canada,2016,Female,40,235423
Canada,2016,Female,41,235423
Canada,2016,Female,42,235423
Canada,2016,Female,43,235423
Canada,2016,Female,44,235423
Canada,2016,Male,45,237146
Canada,2016,Male,46,237146
Canada,2016,Male,47,237146
Canada,2016,Male,48,237146
Canada,2016,Male,49,237146
Canada,2016,Female,45,235401
Canada,2016,Female,46,235401
Canada,2016,Female,47,235401
Canada,2016,Female,48,235401
Canada,2016,Female,49,235401
Canada,2016,Male,50,273248
Canada,2016,Male,51,273248
Canada,2016,Male,52,273248
Canada,2016,Male,53,273248
Canada,2016,Male,54,273248
Canada,2016,Female,50,271237
Canada,2016,Female,51,271237
Canada,2016,Female,52,271237
Canada,2016,Female,53,271237
Canada,2016,Female,54,271237
Canada,2016,Male,55,265957
Canada,2016,Male,56,265957
Canada,2016,Male,57,265957
Canada,2016,Male,58,265957
Canada,2016,Male,59,265957
Canada,2016,Female,55,265226
Canada,2016,Female,56,265226
Canada,2016,Female,57,265226
Canada,2016,Female,58,265226
Canada,2016,Female,59,265226
Canada,2016,Male,60,224319
Canada,2016,Male,61,224319
Canada,2016,Male,62,224319
Canada,2016,Male,63,224319
Canada,2016,Male,64,224319
Canada,2016,Female,60,231585
Canada,2016,Female,61,231585
Canada,2016,Female,62,231585
Canada,2016,Female,63,231585
Canada,2016,Female,64,231585
Canada,2016,Male,65,192328
Canada,2016,Male,66,192328
Canada,2016,Male,67,192328
Canada,2016,Male,68,192328
Canada,2016,Male,69,192328
Canada,2016,Female,65,199933
Canada,2016,Female,66,199933
Canada,2016,Female,67,199933
Canada,2016,Female,68,199933
Canada,2016,Female,69,199933
Canada,2016,Male,75,92717
Canada,2016,Male,76,92717
Canada,2016,Male,77,92717
Canada,2016,Male,78,92717
Canada,2016,Male,79,92717
Canada,2016,Female,75,109599
Canada,2016,Female,76,109599
Canada,2016,Female,77,109599
Canada,2016,Female,78,109599
Canada,2016,Female,79,109599
Canada,2016,Male,80,13923
Canada,2016,Male,81,13923
Canada,2016,Male,82,13923
Canada,2016,Male,83,13923
Canada,2016,Male,84,13923
Canada,2016,Male,85,13923
Canada,2016,Male,86,13923
Canada,2016,Male,87,13923
Canada,2016,Male,88,13923
Canada,2016,Male,89,13923
Canada,2016,Male,90,13923
Canada,2016,Male,91,13923
Canada,2016,Male,92,13923
Canada,2016,Male,93,13923
Canada,2016,Male,94,13923
Canada,2016,Male,95,13923
Canada,2016,Male,96,13923
Canada,2016,Male,97,13923
Canada,2016,Male,98,13923
Canada,2016,Male,99,13923
Canada,2016,Male,100,13923
Canada,2016,Male,101,13923
Canada,2016,Male,102,13923
Canada,2016,Male,103,13923
Canada,2016,Male,104,13923
Canada,2016,Male,105,13923
Canada,2016,Male,106,13923
Canada,2016,Male,107,13923
Canada,2016,Male,108,13923
Canada,2016,Male,109,13923
Canada,2016,Male,110,13923
Canada,2016,Male,111,13923
Canada,2016,Male,112,13923
Canada,2016,Male,113,13923
Canada,2016,Male,114,13923
Canada,2016,Male,115,13923
Canada,2016,Male,116,13923
